region,month,available_crew_hours
Manhattan,2025-09,9256
Manhattan,2025-10,9009
Manhattan,2025-11,9338
Manhattan,2025-12,8637
Manhattan,2026-01,8105
Manhattan,2026-02,8224
Manhattan,2026-03,9224
Manhattan,2026-04,9142
Manhattan,2026-05,9197
Manhattan,2026-06,9043
Manhattan,2026-07,9362
Manhattan,2026-08,9343
Bronx,2025-09,7410
Bronx,2025-10,7567
Bronx,2025-11,7469
Bronx,2025-12,6681
Bronx,2026-01,6863
Bronx,2026-02,6666
Bronx,2026-03,7530
Bronx,2026-04,7393
Bronx,2026-05,7373
Bronx,2026-06,7299
Bronx,2026-07,7581
Bronx,2026-08,7377
Brooklyn/Queens,2025-09,10509
Brooklyn/Queens,2025-10,10525
Brooklyn/Queens,2025-11,10713
Brooklyn/Queens,2025-12,9829
Brooklyn/Queens,2026-01,9839
Brooklyn/Queens,2026-02,9843
Brooklyn/Queens,2026-03,11054
Brooklyn/Queens,2026-04,10514
Brooklyn/Queens,2026-05,10491
Brooklyn/Queens,2026-06,10427
Brooklyn/Queens,2026-07,10731
Brooklyn/Queens,2026-08,10839
Westchester,2025-09,6086
Westchester,2025-10,5998
Westchester,2025-11,5999
Westchester,2025-12,5691
Westchester,2026-01,5703
Westchester,2026-02,5678
Westchester,2026-03,6019
Westchester,2026-04,6128
Westchester,2026-05,6114
Westchester,2026-06,6127
Westchester,2026-07,6206
Westchester,2026-08,6127
