region,program,month,required_hours,priority
Manhattan,Overhead Line Rebuild,2025-09,1411,Medium
Manhattan,Underground Cable Replacement,2025-09,1948,Medium
Manhattan,Substation Upgrade,2025-09,1106,Low
Manhattan,Vegetation Management,2025-09,890,Medium
Manhattan,Storm Hardening,2025-09,3010,Medium
Manhattan,Overhead Line Rebuild,2025-10,2710,Medium
Manhattan,Underground Cable Replacement,2025-10,1283,Medium
Manhattan,Substation Upgrade,2025-10,1533,Low
Manhattan,Vegetation Management,2025-10,785,Medium
Manhattan,Storm Hardening,2025-10,2309,Medium
Manhattan,Overhead Line Rebuild,2025-11,1129,Medium
Manhattan,Underground Cable Replacement,2025-11,1369,Medium
Manhattan,Substation Upgrade,2025-11,2320,Medium
Manhattan,Vegetation Management,2025-11,1759,Medium
Manhattan,Storm Hardening,2025-11,2268,High
Manhattan,Overhead Line Rebuild,2025-12,818,Low
Manhattan,Underground Cable Replacement,2025-12,877,Medium
Manhattan,Substation Upgrade,2025-12,3281,High
Manhattan,Vegetation Management,2025-12,2467,Medium
Manhattan,Storm Hardening,2025-12,1425,Medium
Manhattan,Overhead Line Rebuild,2026-01,799,Medium
Manhattan,Underground Cable Replacement,2026-01,1619,Medium
Manhattan,Substation Upgrade,2026-01,2313,High
Manhattan,Vegetation Management,2026-01,1964,High
Manhattan,Storm Hardening,2026-01,2542,Medium
Manhattan,Overhead Line Rebuild,2026-02,1307,Medium
Manhattan,Underground Cable Replacement,2026-02,911,Low
Manhattan,Substation Upgrade,2026-02,2132,Medium
Manhattan,Vegetation Management,2026-02,1221,Medium
Manhattan,Storm Hardening,2026-02,3936,Medium
Manhattan,Overhead Line Rebuild,2026-03,1870,Medium
Manhattan,Underground Cable Replacement,2026-03,2235,Medium
Manhattan,Substation Upgrade,2026-03,2682,Low
Manhattan,Vegetation Management,2026-03,1196,High
Manhattan,Storm Hardening,2026-03,1783,Low
Manhattan,Overhead Line Rebuild,2026-04,675,Low
Manhattan,Underground Cable Replacement,2026-04,3850,High
Manhattan,Substation Upgrade,2026-04,2095,High
Manhattan,Vegetation Management,2026-04,2199,Medium
Manhattan,Storm Hardening,2026-04,1183,Low
Manhattan,Overhead Line Rebuild,2026-05,3318,Medium
Manhattan,Underground Cable Replacement,2026-05,1333,Low
